seqID,cluster,ancestor,level
629,516,516,0
630,516,516,0
631,519,516,7
632,520,516,3
633,521,516,4
634,522,516,5
635,523,516,15
636,524,516,6
637,525,516,16
638,526,516,15
639,527,516,16
640,528,516,8
641,529,516,11
642,530,516,12
643,531,516,13
644,532,516,14
645,533,516,11
646,534,516,12
647,535,516,9
648,536,516,10
649,537,516,10
650,538,538,0
651,538,538,0
652,539,538,1
653,540,538,2
654,538,538,0
655,538,538,0
656,541,538,6
657,542,538,3
658,538,538,0
659,538,538,0
660,543,538,4
661,544,538,7
662,545,538,10
663,546,538,8
664,547,538,9
665,548,538,11
666,549,538,14
667,550,538,13
668,551,538,12
669,552,538,12
670,553,538,14
671,554,538,13
672,555,538,6
673,556,538,7
674,557,538,8
675,558,538,5
676,559,559,0
677,559,559,0
678,559,559,0
679,559,559,0
680,559,559,0
681,559,559,0
682,560,559,1
683,561,559,5
684,562,559,13
685,563,559,2
686,564,559,6
687,565,559,8
688,566,559,7
689,567,559,9
690,568,559,3
691,569,559,4
692,570,559,11
693,571,559,10
694,572,559,12
695,573,559,14
696,574,559,15
697,575,559,17
698,576,559,18
699,577,559,16
700,578,559,5
701,579,559,13
702,580,580,0
703,580,580,0
704,581,580,1
705,582,580,2
706,580,580,0
707,580,580,0
708,583,580,4
709,584,580,7
710,585,580,3
711,586,580,5
712,587,580,6
713,588,580,13
714,589,580,14
715,590,580,13
716,591,580,14
717,592,580,8
718,593,580,10
719,594,580,11
720,595,580,10
721,596,580,11
722,597,580,9
723,598,580,12
724,599,580,11
725,600,580,9
726,601,580,10
727,602,580,6
728,603,603,0
729,604,603,1
730,603,603,0
731,605,603,2
732,603,603,0
733,603,603,0
734,606,603,6
735,607,603,3
736,608,603,13
737,609,603,4
738,610,603,5
739,611,603,16
740,612,603,14
741,613,603,15
742,614,603,11
743,615,603,7
744,616,603,18
745,617,603,19
746,618,603,12
747,619,603,17
748,620,603,11
749,621,603,12
750,622,603,8
751,623,603,12
752,624,603,9
753,625,603,10
754,626,626,0
755,626,626,0
756,626,626,0
757,626,626,0
758,627,626,1
759,626,626,0
760,626,626,0
761,628,626,7
762,629,626,8
763,626,626,0
764,630,626,2
765,631,626,4
766,632,626,9
767,633,626,5
768,634,626,12
769,635,626,3
770,636,626,10
771,637,626,13
772,638,626,11
773,639,626,14
774,640,626,6
775,641,626,14
776,642,626,12
777,643,626,13
778,644,626,13
779,645,626,15
780,646,646,0
781,646,646,0
782,647,646,1
783,646,646,0
784,646,646,0
