seqID,cluster,ancestor,level
585,255,252,5
586,258,252,6
587,258,252,6
588,258,252,6
589,258,252,6
590,259,252,7
591,258,252,6
592,255,252,5
593,255,252,5
594,260,252,6
595,261,252,3
596,262,252,7
597,258,252,6
598,263,263,0
599,263,263,0
600,263,263,0
601,263,263,0
602,263,263,0
603,264,263,1
604,265,263,7
605,266,263,4
606,267,263,5
607,268,263,6
608,263,263,0
609,265,263,7
610,268,263,6
611,269,263,8
612,270,263,9
613,269,263,8
614,269,263,8
615,268,263,6
616,265,263,7
617,269,263,8
618,270,263,9
619,271,263,4
620,272,263,5
621,273,263,2
622,274,263,3
623,267,263,5
624,275,275,0
625,275,275,0
626,275,275,0
627,276,275,1
628,277,275,2
629,275,275,0
630,275,275,0
631,278,275,4
632,279,275,3
633,278,275,4
634,278,275,4
635,280,275,7
636,279,275,3
637,280,275,7
638,281,275,7
639,280,275,7
640,278,275,4
641,280,275,7
642,282,275,5
643,278,275,4
644,281,275,7
645,283,275,6
646,284,275,5
647,285,275,6
648,286,275,6
649,278,275,4
650,287,287,0
651,287,287,0
652,288,287,1
653,289,287,2
654,287,287,0
655,287,287,0
656,290,287,5
657,291,287,3
658,287,287,0
659,287,287,0
660,289,287,2
661,292,287,6
662,293,287,7
663,293,287,7
664,293,287,7
665,294,287,8
666,294,287,8
667,294,287,8
668,293,287,7
669,294,287,8
670,293,287,7
671,293,287,7
672,295,287,5
673,296,287,6
674,293,287,7
675,297,287,4
676,298,298,0
677,298,298,0
678,298,298,0
679,298,298,0
680,298,298,0
681,298,298,0
682,299,298,1
683,300,298,3
684,301,298,5
685,302,298,2
686,303,298,4
687,303,298,4
688,303,298,4
689,303,298,4
690,300,298,3
691,300,298,3
692,303,298,4
693,303,298,4
694,301,298,5
695,304,298,6
696,304,298,6
697,304,298,6
698,304,298,6
699,303,298,4
700,305,298,3
701,306,298,5
702,307,307,0
703,307,307,0
704,308,307,1
705,309,307,2
706,307,307,0
707,307,307,0
708,310,307,3
709,311,307,5
710,310,307,3
711,312,307,4
712,312,307,4
713,313,307,6
714,314,307,7
715,315,307,6
716,311,307,5
717,311,307,5
718,316,307,7
719,311,307,5
720,315,307,6
721,313,307,6
722,315,307,6
723,311,307,5
724,317,307,7
725,313,307,6
726,313,307,6
727,318,307,7
728,319,319,0
729,320,319,1
730,319,319,0
731,321,319,2
732,319,319,0
733,319,319,0
734,322,319,4
735,321,319,2
736,323,319,5
737,324,319,3
738,324,319,3
739,323,319,5
740,323,319,5
741,324,319,3
742,323,319,5
743,324,319,3
